landmark_id,x_norm,y_norm,z_norm,x_px,y_px,z_approx_px
208,0.46361103653907776,0.9152159690856934,0.017330870032310486,103,205,3
209,0.4475082457065582,0.6076341867446899,-0.07762504369020462,100,136,-17
210,0.32460132241249084,0.8458038568496704,0.02689516916871071,72,189,6
211,0.36533528566360474,0.8735368251800537,0.030381660908460617,81,195,6
212,0.33469849824905396,0.7974113821983337,-0.009133359417319298,74,178,-2
213,0.20653751492500305,0.7183645963668823,0.03270041197538376,46,160,7
214,0.2897292673587799,0.7952246069908142,0.00833202339708805,64,178,1
215,0.17233781516551971,0.7301905155181885,0.08944928646087646,38,163,20
216,0.3550219237804413,0.7459155321121216,-0.038616616278886795,79,167,-8
217,0.4657577872276306,0.5629810690879822,-0.08069511502981186,104,126,-18
218,0.49681979417800903,0.6531683802604675,-0.126567080616951,111,146,-28
219,0.4676983952522278,0.6610048413276672,-0.09908414632081985,104,148,-22
220,0.5170677900314331,0.633358359336853,-0.1433427631855011,115,141,-32
221,0.4244574308395386,0.42264652252197266,-0.06408968567848206,95,94,-14
222,0.377204954624176,0.4062768220901489,-0.08417227864265442,84,91,-18
223,0.332726389169693,0.4033953547477722,-0.09470066428184509,74,90,-21
224,0.29300832748413086,0.4094621241092682,-0.09466662257909775,65,91,-21
225,0.2624545693397522,0.4237744212150574,-0.0856151431798935,58,94,-19
226,0.23829929530620575,0.477329283952713,-0.04438452050089836,53,106,-9
227,0.1314135491847992,0.5450912117958069,0.05390050262212753,29,122,12
228,0.27071070671081543,0.5234878659248352,-0.05187814682722092,60,117,-11
229,0.3078882098197937,0.5317801237106323,-0.05721327289938927,68,119,-12
230,0.3496350347995758,0.5278694033622742,-0.05598851665854454,78,118,-12
231,0.3857334554195404,0.5173380970954895,-0.04968399554491043,86,115,-11
232,0.41310372948646545,0.5059682726860046,-0.042449548840522766,92,113,-9
233,0.43328890204429626,0.4963265657424927,-0.0395401194691658,97,111,-8
234,0.10103288292884827,0.5313158631324768,0.14901012182235718,22,119,33
235,0.4640248119831085,0.6682519912719727,-0.08434809744358063,103,149,-18
236,0.5025622844696045,0.572431743144989,-0.11329745501279831,112,128,-25
237,0.5272476673126221,0.6539276838302612,-0.13929332792758942,118,146,-31
238,0.5362407565116882,0.6660267114639282,-0.1211022436618805,120,149,-27
239,0.5212407112121582,0.6578150987625122,-0.1260921061038971,116,147,-28
240,0.46919530630111694,0.6762663722038269,-0.07032248377799988,105,151,-15
241,0.5451713800430298,0.6680182218551636,-0.12645915150642395,122,149,-28
242,0.5396536588668823,0.6728336215019226,-0.09271632879972458,120,150,-20
243,0.4291509687900543,0.4708385169506073,-0.03280156850814819,96,105,-7
244,0.4496738910675049,0.4795665442943573,-0.0405564159154892,100,107,-9
245,0.46596240997314453,0.48668110370635986,-0.05468587204813957,104,109,-12
